pasos,batch,worst,fitfunc,batchmode,gamma,elapsed,reward,avgerage,varianza,stddesv,folder,graphic,histogram

10000,1,1,reward,all,1.0,0:22:47.101467,95.60932942665848,#,%,@,95.60932942665848,file:///ariel/DataScience/Gusano/BiMPuRLE/RLEngine/uid.0/I&F_MouCarCon_RS/95.60932942665848/rewards.png,file:///ariel/DataScience/Gusano/BiMPuRLE/RLEngine/uid.0/I&F_MouCarCon_RS/95.60932942665848/hist.png
10000,1,1,reward,all,0.1,0:22:48.868813,-2.31720571594276e-07,#,%,@,-2.31720571594276e-07,file:///ariel/DataScience/Gusano/BiMPuRLE/RLEngine/uid.0/I&F_MouCarCon_RS/-2.31720571594276e-07/rewards.png,file:///ariel/DataScience/Gusano/BiMPuRLE/RLEngine/uid.0/I&F_MouCarCon_RS/-2.31720571594276e-07/hist.png
100,1,1,reward,all,1.0,0:00:13.574731,-1.5358867145199104,#,%,@,-1.5358867145199104,file:///ariel/DataScience/Gusano/BiMPuRLE/RLEngine/uid.0/I&F_MouCarCon_RS/-1.5358867145199104/rewards.png,file:///ariel/DataScience/Gusano/BiMPuRLE/RLEngine/uid.0/I&F_MouCarCon_RS/-1.5358867145199104/hist.png
10,1,1,reward,all,1.0,0:00:01.497587,-17.182246004990667,#,%,@,-17.182246004990667,file:///ariel/DataScience/Gusano/BiMPuRLE/RLEngine/uid.0/I&F_MouCarCon_RS/-17.182246004990667/rewards.png,file:///ariel/DataScience/Gusano/BiMPuRLE/RLEngine/uid.0/I&F_MouCarCon_RS/-17.182246004990667/hist.png
