pasos,batch,worst,fitfunc,batchmode,gamma,elapsed,reward,avgerage,varianza,stddesv,folder,graphic,histogram
70,10,10,reward,all,1.0,0:20:56.539360,97.91885679442633,97.84985303452288,0.022826193634705595,0.15108339960004075,97.91885679442633,file:///ariel/DataScience/Gusano/BiMPuRLE/RLEngine/uid.0/I&F_MouCarCon_GA/97.91885679442633/rewards.png,file:///ariel/DataScience/Gusano/BiMPuRLE/RLEngine/uid.0/I&F_MouCarCon_GA/97.91885679442633/hist.png
10,1,1,reward,all,1.0,0:00:29.036808,-0.0011224111637574976,#,%,@,-0.0011224111637574976,file:///ariel/DataScience/Gusano/BiMPuRLE/RLEngine/uid.0/I&F_MouCarCon_GA/-0.0011224111637574976/rewards.png,file:///ariel/DataScience/Gusano/BiMPuRLE/RLEngine/uid.0/I&F_MouCarCon_GA/-0.0011224111637574976/hist.png
10,1,1,reward,all,1.0,0:00:28.832365,13.54277659775731,#,%,@,13.54277659775731,file:///ariel/DataScience/Gusano/BiMPuRLE/RLEngine/uid.0/I&F_MouCarCon_GA/13.54277659775731/rewards.png,file:///ariel/DataScience/Gusano/BiMPuRLE/RLEngine/uid.0/I&F_MouCarCon_GA/13.54277659775731/hist.png
10,1,1,reward,all,1.0,0:00:27.457852,85.75870935866324,#,%,@,85.75870935866324,file:///ariel/DataScience/Gusano/BiMPuRLE/RLEngine/uid.0/I&F_MouCarCon_GA/85.75870935866324/rewards.png,file:///ariel/DataScience/Gusano/BiMPuRLE/RLEngine/uid.0/I&F_MouCarCon_GA/85.75870935866324/hist.png
